"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4504","should login with valid credentials","","Sun Sep 15 12:41:07 IST 2024","failed","Sun Sep 15 12:41:12 IST 2024","","My Login application","",""
"","16960","netflix login","","Sun Sep 15 14:47:20 IST 2024","passed","Sun Sep 15 14:47:37 IST 2024","","netflix page","",""
"","30590","flipkart login","","Tue Oct 01 23:58:39 IST 2024","broken","Tue Oct 01 23:59:09 IST 2024","","flipkart","",""
"","6532","click on image","","Sun Sep 15 14:47:11 IST 2024","passed","Sun Sep 15 14:47:18 IST 2024","","Amazon login","",""
"","7114","search","","Sun Sep 15 14:47:04 IST 2024","passed","Sun Sep 15 14:47:11 IST 2024","","Amazon login","",""
"","2","signup","","Tue Oct 01 01:10:52 IST 2024","passed","Tue Oct 01 01:10:52 IST 2024","","Udemy login","",""
"","3985","product list","","Tue Sep 17 23:43:30 IST 2024","passed","Tue Sep 17 23:43:34 IST 2024","","Blametere page","",""
"","9077","homepage","","Sun Sep 15 15:26:28 IST 2024","passed","Sun Sep 15 15:26:38 IST 2024","","Freshwork","",""
"","60256","search","","Tue Oct 01 00:36:00 IST 2024","broken","Tue Oct 01 00:37:00 IST 2024","","Udemy login","",""
"","2","login","","Tue Oct 01 20:22:00 IST 2024","passed","Tue Oct 01 20:22:00 IST 2024","","Udemy login","",""
